"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1380","Census Tract 224010","1","Census Tract 480302","1/3/2020 - 31/3/2020, Every day, Daily Average",1286,927,1783
"1380","Census Tract 224010","2","Census Tract 480303","1/3/2020 - 31/3/2020, Every day, Daily Average",1118,842,1483
"1380","Census Tract 224010","3","Census Tract 480304","1/3/2020 - 31/3/2020, Every day, Daily Average",1089,813,1457
"1380","Census Tract 224010","4","Census Tract 480400","1/3/2020 - 31/3/2020, Every day, Daily Average",1257,895,1764
"1380","Census Tract 224010","7","Census Tract 480802","1/3/2020 - 31/3/2020, Every day, Daily Average",965,673,1383
"1380","Census Tract 224010","8","Census Tract 480803","1/3/2020 - 31/3/2020, Every day, Daily Average",1122,784,1604
"1380","Census Tract 224010","9","Census Tract 480804","1/3/2020 - 31/3/2020, Every day, Daily Average",1194,857,1662
"1380","Census Tract 224010","10","Census Tract 480901","1/3/2020 - 31/3/2020, Every day, Daily Average",1051,749,1473
"1380","Census Tract 224010","11","Census Tract 480902","1/3/2020 - 31/3/2020, Every day, Daily Average",976,697,1366
"1380","Census Tract 224010","12","Census Tract 480903","1/3/2020 - 31/3/2020, Every day, Daily Average",726,503,1046
"1380","Census Tract 224010","13","Census Tract 481001","1/3/2020 - 31/3/2020, Every day, Daily Average",1023,738,1416
"1380","Census Tract 224010","14","Census Tract 481002","1/3/2020 - 31/3/2020, Every day, Daily Average",1130,841,1517
"1380","Census Tract 224010","15","Census Tract 481500","1/3/2020 - 31/3/2020, Every day, Daily Average",829,579,1185
"1380","Census Tract 224010","16","Census Tract 481603","1/3/2020 - 31/3/2020, Every day, Daily Average",955,714,1276
"1380","Census Tract 224010","17","Census Tract 481604","1/3/2020 - 31/3/2020, Every day, Daily Average",959,705,1303
"1380","Census Tract 224010","18","Census Tract 481605","1/3/2020 - 31/3/2020, Every day, Daily Average",775,544,1102
"1380","Census Tract 224010","19","Census Tract 481606","1/3/2020 - 31/3/2020, Every day, Daily Average",857,634,1158
"1380","Census Tract 224010","20","Census Tract 481800","1/3/2020 - 31/3/2020, Every day, Daily Average",1032,703,1514
"1380","Census Tract 224010","21","Census Tract 481901","1/3/2020 - 31/3/2020, Every day, Daily Average",903,579,1407
"1380","Census Tract 224010","22","Census Tract 481902","1/3/2020 - 31/3/2020, Every day, Daily Average",662,456,959
"1380","Census Tract 224010","23","Census Tract 430400","1/3/2020 - 31/3/2020, Every day, Daily Average",1655,1227,2231
"1380","Census Tract 224010","24","Census Tract 430600","1/3/2020 - 31/3/2020, Every day, Daily Average",1768,1251,2497
"1380","Census Tract 224010","25","Census Tract 430701","1/3/2020 - 31/3/2020, Every day, Daily Average",1596,1134,2244
"1380","Census Tract 224010","26","Census Tract 430721","1/3/2020 - 31/3/2020, Every day, Daily Average",1684,1202,2358
"1380","Census Tract 224010","27","Census Tract 430723","1/3/2020 - 31/3/2020, Every day, Daily Average",1801,1339,2420
"1380","Census Tract 224010","28","Census Tract 430724","1/3/2020 - 31/3/2020, Every day, Daily Average",1620,1276,2055
"1380","Census Tract 224010","29","Census Tract 430801","1/3/2020 - 31/3/2020, Every day, Daily Average",1783,1272,2498
"1380","Census Tract 224010","31","Census Tract 430803","1/3/2020 - 31/3/2020, Every day, Daily Average",1820,1352,2448
"1380","Census Tract 224010","34","Census Tract 431600","1/3/2020 - 31/3/2020, Every day, Daily Average",1528,1143,2041
"1380","Census Tract 224010","35","Census Tract 431700","1/3/2020 - 31/3/2020, Every day, Daily Average",1669,1256,2216
"1380","Census Tract 224010","36","Census Tract 431800","1/3/2020 - 31/3/2020, Every day, Daily Average",1689,1257,2269
"1380","Census Tract 224010","37","Census Tract 431900","1/3/2020 - 31/3/2020, Every day, Daily Average",1614,1195,2178
"1380","Census Tract 224010","39","Census Tract 554801","1/3/2020 - 31/3/2020, Every day, Daily Average",1612,1206,2153
"1380","Census Tract 224010","46","Census Tract 404000","1/3/2020 - 31/3/2020, Every day, Daily Average",1941,1421,2650
"1380","Census Tract 224010","47","Census Tract 404100","1/3/2020 - 31/3/2020, Every day, Daily Average",1902,1396,2589
"1380","Census Tract 224010","51","Census Tract 404302","1/3/2020 - 31/3/2020, Every day, Daily Average",1856,1364,2524
"1380","Census Tract 224010","52","Census Tract 404401","1/3/2020 - 31/3/2020, Every day, Daily Average",1731,1289,2323
"1380","Census Tract 224010","53","Census Tract 404402","1/3/2020 - 31/3/2020, Every day, Daily Average",1751,1304,2350
"1380","Census Tract 224010","58","Census Tract 404701","1/3/2020 - 31/3/2020, Every day, Daily Average",1209,899,1624
"1380","Census Tract 224010","59","Census Tract 404702","1/3/2020 - 31/3/2020, Every day, Daily Average",1243,933,1654
"1380","Census Tract 224010","60","Census Tract 404703","1/3/2020 - 31/3/2020, Every day, Daily Average",1204,911,1589
"1380","Census Tract 224010","62","Census Tract 404802","1/3/2020 - 31/3/2020, Every day, Daily Average",1330,995,1776
"1380","Census Tract 224010","63","Census Tract 404803","1/3/2020 - 31/3/2020, Every day, Daily Average",1265,989,1617
"1380","Census Tract 224010","76","Census Tract 407002","1/3/2020 - 31/3/2020, Every day, Daily Average",1169,870,1569
"1380","Census Tract 224010","77","Census Tract 532304","1/3/2020 - 31/3/2020, Every day, Daily Average",749,483,1161
"1380","Census Tract 224010","78","Census Tract 533601","1/3/2020 - 31/3/2020, Every day, Daily Average",1191,820,1729
"1380","Census Tract 224010","79","Census Tract 533602","1/3/2020 - 31/3/2020, Every day, Daily Average",1231,840,1801
"1380","Census Tract 224010","80","Census Tract 533603","1/3/2020 - 31/3/2020, Every day, Daily Average",1167,812,1675
"1380","Census Tract 224010","81","Census Tract 533703","1/3/2020 - 31/3/2020, Every day, Daily Average",753,503,1126
"1380","Census Tract 224010","82","Census Tract 533803","1/3/2020 - 31/3/2020, Every day, Daily Average",1073,752,1529
"1380","Census Tract 224010","83","Census Tract 533804","1/3/2020 - 31/3/2020, Every day, Daily Average",1043,713,1525
"1380","Census Tract 224010","84","Census Tract 533805","1/3/2020 - 31/3/2020, Every day, Daily Average",938,651,1349
"1380","Census Tract 224010","85","Census Tract 533806","1/3/2020 - 31/3/2020, Every day, Daily Average",827,557,1226
"1380","Census Tract 224010","86","Census Tract 553100","1/3/2020 - 31/3/2020, Every day, Daily Average",1194,959,1485
"1380","Census Tract 224010","87","Census Tract 553200","1/3/2020 - 31/3/2020, Every day, Daily Average",1441,1018,2038
"1380","Census Tract 224010","98","Census Tract 554301","1/3/2020 - 31/3/2020, Every day, Daily Average",1566,1205,2034
"1380","Census Tract 224010","99","Census Tract 554302","1/3/2020 - 31/3/2020, Every day, Daily Average",1547,1142,2094
"1380","Census Tract 224010","100","Census Tract 554403","1/3/2020 - 31/3/2020, Every day, Daily Average",1644,1239,2180
"1380","Census Tract 224010","101","Census Tract 554404","1/3/2020 - 31/3/2020, Every day, Daily Average",1562,1180,2067
"1380","Census Tract 224010","102","Census Tract 554405","1/3/2020 - 31/3/2020, Every day, Daily Average",1526,1162,2003
"1380","Census Tract 224010","103","Census Tract 554406","1/3/2020 - 31/3/2020, Every day, Daily Average",1490,1134,1957
"1380","Census Tract 224010","104","Census Tract 533901","1/3/2020 - 31/3/2020, Every day, Daily Average",1179,804,1728
"1380","Census Tract 224010","105","Census Tract 533902","1/3/2020 - 31/3/2020, Every day, Daily Average",1122,761,1652
"1380","Census Tract 224010","106","Census Tract 534001","1/3/2020 - 31/3/2020, Every day, Daily Average",1270,855,1885
"1380","Census Tract 224010","107","Census Tract 534002","1/3/2020 - 31/3/2020, Every day, Daily Average",1240,793,1937
"1380","Census Tract 224010","108","Census Tract 534101","1/3/2020 - 31/3/2020, Every day, Daily Average",949,662,1360
"1380","Census Tract 224010","109","Census Tract 534102","1/3/2020 - 31/3/2020, Every day, Daily Average",1000,712,1404
"1380","Census Tract 224010","110","Census Tract 534201","1/3/2020 - 31/3/2020, Every day, Daily Average",1145,738,1774
"1380","Census Tract 224010","111","Census Tract 534202","1/3/2020 - 31/3/2020, Every day, Daily Average",1041,744,1456
"1380","Census Tract 224010","112","Census Tract 534203","1/3/2020 - 31/3/2020, Every day, Daily Average",1268,856,1877
"1380","Census Tract 224010","113","Census Tract 700600","1/3/2020 - 31/3/2020, Every day, Daily Average",1556,1149,2106
"1380","Census Tract 224010","114","Census Tract 700700","1/3/2020 - 31/3/2020, Every day, Daily Average",1692,1156,2475
"1380","Census Tract 224010","115","Census Tract 700801","1/3/2020 - 31/3/2020, Every day, Daily Average",1376,943,2007
"1380","Census Tract 224010","116","Census Tract 700802","1/3/2020 - 31/3/2020, Every day, Daily Average",1016,737,1400
"1380","Census Tract 224010","117","Census Tract 700901","1/3/2020 - 31/3/2020, Every day, Daily Average",955,690,1320
"1380","Census Tract 224010","118","Census Tract 700902","1/3/2020 - 31/3/2020, Every day, Daily Average",1212,873,1681
"1380","Census Tract 224010","119","Census Tract 701000","1/3/2020 - 31/3/2020, Every day, Daily Average",1389,978,1971
"1380","Census Tract 224010","126","Census Tract 310400","1/3/2020 - 31/3/2020, Every day, Daily Average",1353,932,1962
"1380","Census Tract 224010","127","Census Tract 310501","1/3/2020 - 31/3/2020, Every day, Daily Average",1551,1055,2279
"1380","Census Tract 224010","128","Census Tract 310601","1/3/2020 - 31/3/2020, Every day, Daily Average",1298,871,1933
"1380","Census Tract 224010","129","Census Tract 310602","1/3/2020 - 31/3/2020, Every day, Daily Average",1356,914,2010
"1380","Census Tract 224010","130","Census Tract 310701","1/3/2020 - 31/3/2020, Every day, Daily Average",1234,824,1846
"1380","Census Tract 224010","131","Census Tract 310702","1/3/2020 - 31/3/2020, Every day, Daily Average",1218,815,1819
"1380","Census Tract 224010","132","Census Tract 310703","1/3/2020 - 31/3/2020, Every day, Daily Average",1127,748,1697
"1380","Census Tract 224010","133","Census Tract 310800","1/3/2020 - 31/3/2020, Every day, Daily Average",1610,1044,2480
"1380","Census Tract 224010","134","Census Tract 310900","1/3/2020 - 31/3/2020, Every day, Daily Average",1762,1138,2726
"1380","Census Tract 224010","135","Census Tract 311000","1/3/2020 - 31/3/2020, Every day, Daily Average",1724,1107,2684
"1380","Census Tract 224010","136","Census Tract 311100","1/3/2020 - 31/3/2020, Every day, Daily Average",1774,1188,2647
"1380","Census Tract 224010","137","Census Tract 311200","1/3/2020 - 31/3/2020, Every day, Daily Average",1733,1126,2666
"1380","Census Tract 224010","138","Census Tract 311300","1/3/2020 - 31/3/2020, Every day, Daily Average",2105,1257,3524
"1380","Census Tract 224010","139","Census Tract 311400","1/3/2020 - 31/3/2020, Every day, Daily Average",1527,999,2333
"1380","Census Tract 224010","140","Census Tract 311500","1/3/2020 - 31/3/2020, Every day, Daily Average",1666,1016,2731
"1380","Census Tract 224010","141","Census Tract 311600","1/3/2020 - 31/3/2020, Every day, Daily Average",1518,1003,2296
"1380","Census Tract 224010","142","Census Tract 311700","1/3/2020 - 31/3/2020, Every day, Daily Average",1399,920,2125
"1380","Census Tract 224010","143","Census Tract 311801","1/3/2020 - 31/3/2020, Every day, Daily Average",1151,769,1722
"1380","Census Tract 224010","144","Census Tract 311802","1/3/2020 - 31/3/2020, Every day, Daily Average",1191,788,1799
"1380","Census Tract 224010","145","Census Tract 980001","1/3/2020 - 31/3/2020, Every day, Daily Average",1714,1205,2437
"1380","Census Tract 224010","149","Census Tract 800204","1/3/2020 - 31/3/2020, Every day, Daily Average",2767,1861,4113
"1380","Census Tract 224010","151","Census Tract 541002","1/3/2020 - 31/3/2020, Every day, Daily Average",1275,904,1796
"1380","Census Tract 224010","152","Census Tract 543100","1/3/2020 - 31/3/2020, Every day, Daily Average",1394,961,2020
"1380","Census Tract 224010","156","Census Tract 543321","1/3/2020 - 31/3/2020, Every day, Daily Average",1400,1014,1932
"1380","Census Tract 224010","158","Census Tract 543400","1/3/2020 - 31/3/2020, Every day, Daily Average",1347,1009,1796
"1380","Census Tract 224010","159","Census Tract 543501","1/3/2020 - 31/3/2020, Every day, Daily Average",1143,813,1606
"1380","Census Tract 224010","165","Census Tract 543801","1/3/2020 - 31/3/2020, Every day, Daily Average",1192,847,1676
"1380","Census Tract 224010","167","Census Tract 543903","1/3/2020 - 31/3/2020, Every day, Daily Average",1299,933,1807
"1380","Census Tract 224010","171","Census Tract 572301","1/3/2020 - 31/3/2020, Every day, Daily Average",1413,1033,1931
"1380","Census Tract 224010","172","Census Tract 980002","1/3/2020 - 31/3/2020, Every day, Daily Average",1380,1003,1897
"1380","Census Tract 224010","175","Census Tract 554512","1/3/2020 - 31/3/2020, Every day, Daily Average",1633,1222,2180
"1380","Census Tract 224010","177","Census Tract 554514","1/3/2020 - 31/3/2020, Every day, Daily Average",1651,1234,2207
"1380","Census Tract 224010","180","Census Tract 554517","1/3/2020 - 31/3/2020, Every day, Daily Average",1727,1314,2269
"1380","Census Tract 224010","181","Census Tract 554518","1/3/2020 - 31/3/2020, Every day, Daily Average",1742,1334,2273
"1380","Census Tract 224010","183","Census Tract 554521","1/3/2020 - 31/3/2020, Every day, Daily Average",1304,972,1747
"1380","Census Tract 224010","184","Census Tract 554522","1/3/2020 - 31/3/2020, Every day, Daily Average",1314,1003,1720
"1380","Census Tract 224010","186","Census Tract 532302","1/3/2020 - 31/3/2020, Every day, Daily Average",543,362,813
"1380","Census Tract 224010","187","Census Tract 532303","1/3/2020 - 31/3/2020, Every day, Daily Average",657,444,970
"1380","Census Tract 224010","188","Census Tract 532304","1/3/2020 - 31/3/2020, Every day, Daily Average",755,512,1113
"1380","Census Tract 224010","189","Census Tract 532400","1/3/2020 - 31/3/2020, Every day, Daily Average",1042,681,1592
"1380","Census Tract 224010","190","Census Tract 533703","1/3/2020 - 31/3/2020, Every day, Daily Average",1307,792,2155
"1380","Census Tract 224010","192","Census Tract 541200","1/3/2020 - 31/3/2020, Every day, Daily Average",1374,915,2061
"1380","Census Tract 224010","193","Census Tract 541300","1/3/2020 - 31/3/2020, Every day, Daily Average",1280,891,1838
"1380","Census Tract 224010","204","Census Tract 542106","1/3/2020 - 31/3/2020, Every day, Daily Average",1335,802,2221
"1380","Census Tract 224010","205","Census Tract 542200","1/3/2020 - 31/3/2020, Every day, Daily Average",1366,921,2024
"1380","Census Tract 224010","207","Census Tract 542402","1/3/2020 - 31/3/2020, Every day, Daily Average",1564,1127,2168
"1380","Census Tract 224010","213","Census Tract 542800","1/3/2020 - 31/3/2020, Every day, Daily Average",1596,1087,2341
"1380","Census Tract 224010","218","Census Tract 543202","1/3/2020 - 31/3/2020, Every day, Daily Average",1491,1058,2100
"1380","Census Tract 224010","219","Census Tract 543305","1/3/2020 - 31/3/2020, Every day, Daily Average",1553,1112,2168
"1380","Census Tract 224010","220","Census Tract 543321","1/3/2020 - 31/3/2020, Every day, Daily Average",1470,1042,2073
"1380","Census Tract 224010","221","Census Tract 403600","1/3/2020 - 31/3/2020, Every day, Daily Average",1787,1431,2231
"1380","Census Tract 224010","225","Census Tract 403722","1/3/2020 - 31/3/2020, Every day, Daily Average",1855,1508,2280
"1380","Census Tract 224010","238","Census Tract 533806","1/3/2020 - 31/3/2020, Every day, Daily Average",923,598,1423
"1380","Census Tract 224010","239","Census Tract 534301","1/3/2020 - 31/3/2020, Every day, Daily Average",1257,851,1855
"1380","Census Tract 224010","242","Census Tract 534404","1/3/2020 - 31/3/2020, Every day, Daily Average",1215,921,1601
"1380","Census Tract 224010","243","Census Tract 534405","1/3/2020 - 31/3/2020, Every day, Daily Average",1122,793,1585
"1380","Census Tract 224010","244","Census Tract 534406","1/3/2020 - 31/3/2020, Every day, Daily Average",1073,737,1561
"1380","Census Tract 224010","245","Census Tract 702400","1/3/2020 - 31/3/2020, Every day, Daily Average",821,517,1301
"1380","Census Tract 224010","246","Census Tract 702501","1/3/2020 - 31/3/2020, Every day, Daily Average",1293,871,1919
"1380","Census Tract 224010","247","Census Tract 702502","1/3/2020 - 31/3/2020, Every day, Daily Average",1103,739,1645
"1380","Census Tract 224010","248","Census Tract 702600","1/3/2020 - 31/3/2020, Every day, Daily Average",1071,734,1562
"1380","Census Tract 224010","249","Census Tract 702700","1/3/2020 - 31/3/2020, Every day, Daily Average",1343,889,2028
"1380","Census Tract 224010","250","Census Tract 702801","1/3/2020 - 31/3/2020, Every day, Daily Average",1220,832,1788
"1380","Census Tract 224010","251","Census Tract 702802","1/3/2020 - 31/3/2020, Every day, Daily Average",914,643,1298
"1380","Census Tract 224010","252","Census Tract 702803","1/3/2020 - 31/3/2020, Every day, Daily Average",1310,929,1846
"1380","Census Tract 224010","253","Census Tract 703001","1/3/2020 - 31/3/2020, Every day, Daily Average",1212,811,1809
"1380","Census Tract 224010","254","Census Tract 403303","1/3/2020 - 31/3/2020, Every day, Daily Average",1685,1224,2318
"1380","Census Tract 224010","255","Census Tract 403304","1/3/2020 - 31/3/2020, Every day, Daily Average",1757,1157,2665
"1380","Census Tract 224010","256","Census Tract 403305","1/3/2020 - 31/3/2020, Every day, Daily Average",1871,1431,2445
"1380","Census Tract 224010","257","Census Tract 403312","1/3/2020 - 31/3/2020, Every day, Daily Average",1819,1323,2500
"1380","Census Tract 224010","258","Census Tract 403322","1/3/2020 - 31/3/2020, Every day, Daily Average",1780,1328,2385
"1380","Census Tract 224010","259","Census Tract 403323","1/3/2020 - 31/3/2020, Every day, Daily Average",1802,1338,2426
"1380","Census Tract 224010","261","Census Tract 408703","1/3/2020 - 31/3/2020, Every day, Daily Average",2098,1503,2927
"1380","Census Tract 224010","264","Census Tract 550400","1/3/2020 - 31/3/2020, Every day, Daily Average",971,696,1352
"1380","Census Tract 224010","265","Census Tract 550500","1/3/2020 - 31/3/2020, Every day, Daily Average",905,643,1272
"1380","Census Tract 224010","266","Census Tract 550601","1/3/2020 - 31/3/2020, Every day, Daily Average",833,586,1184
"1380","Census Tract 224010","267","Census Tract 550602","1/3/2020 - 31/3/2020, Every day, Daily Average",927,575,1491
"1380","Census Tract 224010","268","Census Tract 550700","1/3/2020 - 31/3/2020, Every day, Daily Average",797,559,1134
"1380","Census Tract 224010","269","Census Tract 550800","1/3/2020 - 31/3/2020, Every day, Daily Average",1178,809,1714
"1380","Census Tract 224010","270","Census Tract 550901","1/3/2020 - 31/3/2020, Every day, Daily Average",1100,816,1482
"1380","Census Tract 224010","271","Census Tract 550902","1/3/2020 - 31/3/2020, Every day, Daily Average",1028,768,1375
"1380","Census Tract 224010","272","Census Tract 551000","1/3/2020 - 31/3/2020, Every day, Daily Average",1330,887,1993
"1380","Census Tract 224010","274","Census Tract 551102","1/3/2020 - 31/3/2020, Every day, Daily Average",1332,874,2028
"1380","Census Tract 224010","277","Census Tract 551300","1/3/2020 - 31/3/2020, Every day, Daily Average",1212,877,1673
"1380","Census Tract 224010","278","Census Tract 551401","1/3/2020 - 31/3/2020, Every day, Daily Average",1222,855,1744
"1380","Census Tract 224010","279","Census Tract 551402","1/3/2020 - 31/3/2020, Every day, Daily Average",1233,869,1747
"1380","Census Tract 224010","281","Census Tract 551502","1/3/2020 - 31/3/2020, Every day, Daily Average",1231,927,1633
"1380","Census Tract 224010","282","Census Tract 551600","1/3/2020 - 31/3/2020, Every day, Daily Average",1174,879,1566
"1380","Census Tract 224010","283","Census Tract 551700","1/3/2020 - 31/3/2020, Every day, Daily Average",1429,997,2046
"1380","Census Tract 224010","284","Census Tract 551800","1/3/2020 - 31/3/2020, Every day, Daily Average",1517,1020,2256
"1380","Census Tract 224010","285","Census Tract 553400","1/3/2020 - 31/3/2020, Every day, Daily Average",1413,983,2029
"1380","Census Tract 224010","286","Census Tract 430002","1/3/2020 - 31/3/2020, Every day, Daily Average",1902,1364,2651
"1380","Census Tract 224010","288","Census Tract 430101","1/3/2020 - 31/3/2020, Every day, Daily Average",1964,1421,2713
"1380","Census Tract 224010","293","Census Tract 432102","1/3/2020 - 31/3/2020, Every day, Daily Average",1481,1049,2089
"1380","Census Tract 224010","294","Census Tract 432300","1/3/2020 - 31/3/2020, Every day, Daily Average",1298,955,1763
"1380","Census Tract 224010","295","Census Tract 432401","1/3/2020 - 31/3/2020, Every day, Daily Average",1525,1136,2046
"1380","Census Tract 224010","296","Census Tract 432402","1/3/2020 - 31/3/2020, Every day, Daily Average",1427,1064,1913
"1380","Census Tract 224010","298","Census Tract 432601","1/3/2020 - 31/3/2020, Every day, Daily Average",1341,1026,1752
"1380","Census Tract 224010","300","Census Tract 432700","1/3/2020 - 31/3/2020, Every day, Daily Average",1137,790,1634
"1380","Census Tract 224010","301","Census Tract 432801","1/3/2020 - 31/3/2020, Every day, Daily Average",1278,908,1798
"1380","Census Tract 224010","302","Census Tract 432802","1/3/2020 - 31/3/2020, Every day, Daily Average",1152,820,1618
"1380","Census Tract 224010","303","Census Tract 432902","1/3/2020 - 31/3/2020, Every day, Daily Average",1331,994,1782
"1380","Census Tract 224010","304","Census Tract 433101","1/3/2020 - 31/3/2020, Every day, Daily Average",998,723,1377
"1380","Census Tract 224010","306","Census Tract 433200","1/3/2020 - 31/3/2020, Every day, Daily Average",1085,793,1484
"1380","Census Tract 224010","307","Census Tract 433302","1/3/2020 - 31/3/2020, Every day, Daily Average",1139,852,1521
"1380","Census Tract 224010","308","Census Tract 433304","1/3/2020 - 31/3/2020, Every day, Daily Average",1151,835,1584
"1380","Census Tract 224010","309","Census Tract 433305","1/3/2020 - 31/3/2020, Every day, Daily Average",1194,860,1657
"1380","Census Tract 224010","311","Census Tract 433307","1/3/2020 - 31/3/2020, Every day, Daily Average",1247,884,1758
"1380","Census Tract 224010","313","Census Tract 433402","1/3/2020 - 31/3/2020, Every day, Daily Average",1536,1105,2133
"1380","Census Tract 224010","314","Census Tract 433403","1/3/2020 - 31/3/2020, Every day, Daily Average",1106,814,1501
"1380","Census Tract 224010","321","Census Tract 620001","1/3/2020 - 31/3/2020, Every day, Daily Average",1351,1018,1792
"1380","Census Tract 224010","322","Census Tract 620002","1/3/2020 - 31/3/2020, Every day, Daily Average",1497,1155,1940
"1380","Census Tract 224010","323","Census Tract 620101","1/3/2020 - 31/3/2020, Every day, Daily Average",1500,1090,2063
"1380","Census Tract 224010","325","Census Tract 980013","1/3/2020 - 31/3/2020, Every day, Daily Average",1192,870,1631
"1380","Census Tract 224010","326","Census Tract 980030","1/3/2020 - 31/3/2020, Every day, Daily Average",1568,1205,2039
"1380","Census Tract 224010","328","Census Tract 602600","1/3/2020 - 31/3/2020, Every day, Daily Average",1411,995,1999
"1380","Census Tract 224010","329","Census Tract 602900","1/3/2020 - 31/3/2020, Every day, Daily Average",1152,797,1664
"1380","Census Tract 224010","330","Census Tract 603001","1/3/2020 - 31/3/2020, Every day, Daily Average",1060,751,1494
"1380","Census Tract 224010","331","Census Tract 603004","1/3/2020 - 31/3/2020, Every day, Daily Average",1084,776,1513
"1380","Census Tract 224010","332","Census Tract 603005","1/3/2020 - 31/3/2020, Every day, Daily Average",1316,890,1943
"1380","Census Tract 224010","333","Census Tract 603006","1/3/2020 - 31/3/2020, Every day, Daily Average",1254,883,1780
"1380","Census Tract 224010","334","Census Tract 603101","1/3/2020 - 31/3/2020, Every day, Daily Average",1163,818,1651
"1380","Census Tract 224010","335","Census Tract 603102","1/3/2020 - 31/3/2020, Every day, Daily Average",1059,795,1409
"1380","Census Tract 224010","336","Census Tract 603200","1/3/2020 - 31/3/2020, Every day, Daily Average",1260,926,1713
"1380","Census Tract 224010","338","Census Tract 603302","1/3/2020 - 31/3/2020, Every day, Daily Average",1123,842,1496
"1380","Census Tract 224010","339","Census Tract 603400","1/3/2020 - 31/3/2020, Every day, Daily Average",1295,917,1827
"1380","Census Tract 224010","342","Census Tract 300301","1/3/2020 - 31/3/2020, Every day, Daily Average",1419,1061,1897
"1380","Census Tract 224010","343","Census Tract 300400","1/3/2020 - 31/3/2020, Every day, Daily Average",1423,1016,1992
"1380","Census Tract 224010","345","Census Tract 300600","1/3/2020 - 31/3/2020, Every day, Daily Average",1333,1002,1773
"1380","Census Tract 224010","346","Census Tract 300701","1/3/2020 - 31/3/2020, Every day, Daily Average",1308,946,1807
"1380","Census Tract 224010","347","Census Tract 300702","1/3/2020 - 31/3/2020, Every day, Daily Average",1233,869,1747
"1380","Census Tract 224010","348","Census Tract 300800","1/3/2020 - 31/3/2020, Every day, Daily Average",1139,782,1658
"1380","Census Tract 224010","349","Census Tract 300901","1/3/2020 - 31/3/2020, Every day, Daily Average",1020,686,1514
"1380","Census Tract 224010","350","Census Tract 300902","1/3/2020 - 31/3/2020, Every day, Daily Average",1006,668,1514
"1380","Census Tract 224010","351","Census Tract 301000","1/3/2020 - 31/3/2020, Every day, Daily Average",1102,710,1709
"1380","Census Tract 224010","352","Census Tract 301100","1/3/2020 - 31/3/2020, Every day, Daily Average",1300,886,1906
"1380","Census Tract 224010","353","Census Tract 301203","1/3/2020 - 31/3/2020, Every day, Daily Average",1513,996,2297
"1380","Census Tract 224010","354","Census Tract 301204","1/3/2020 - 31/3/2020, Every day, Daily Average",1377,896,2114
"1380","Census Tract 224010","355","Census Tract 301205","1/3/2020 - 31/3/2020, Every day, Daily Average",1459,993,2142
"1380","Census Tract 224010","356","Census Tract 301206","1/3/2020 - 31/3/2020, Every day, Daily Average",1354,912,2009
"1380","Census Tract 224010","359","Census Tract 301501","1/3/2020 - 31/3/2020, Every day, Daily Average",1323,928,1884
"1380","Census Tract 224010","360","Census Tract 301502","1/3/2020 - 31/3/2020, Every day, Daily Average",1340,932,1925
"1380","Census Tract 224010","361","Census Tract 301601","1/3/2020 - 31/3/2020, Every day, Daily Average",1066,699,1625
"1380","Census Tract 224010","362","Census Tract 301602","1/3/2020 - 31/3/2020, Every day, Daily Average",1064,702,1612
"1380","Census Tract 224010","363","Census Tract 301701","1/3/2020 - 31/3/2020, Every day, Daily Average",1337,836,2137
"1380","Census Tract 224010","364","Census Tract 301702","1/3/2020 - 31/3/2020, Every day, Daily Average",1050,713,1545
"1380","Census Tract 224010","365","Census Tract 301801","1/3/2020 - 31/3/2020, Every day, Daily Average",1286,829,1993
"1380","Census Tract 224010","366","Census Tract 301802","1/3/2020 - 31/3/2020, Every day, Daily Average",1292,892,1869
"1380","Census Tract 224010","367","Census Tract 301900","1/3/2020 - 31/3/2020, Every day, Daily Average",1355,870,2110
"1380","Census Tract 224010","368","Census Tract 302002","1/3/2020 - 31/3/2020, Every day, Daily Average",1432,974,2104
"1380","Census Tract 224010","369","Census Tract 302003","1/3/2020 - 31/3/2020, Every day, Daily Average",1470,1040,2077
"1380","Census Tract 224010","370","Census Tract 302004","1/3/2020 - 31/3/2020, Every day, Daily Average",1308,898,1904
"1380","Census Tract 224010","371","Census Tract 302102","1/3/2020 - 31/3/2020, Every day, Daily Average",884,582,1341
"1380","Census Tract 224010","372","Census Tract 302103","1/3/2020 - 31/3/2020, Every day, Daily Average",1134,779,1649
"1380","Census Tract 224010","373","Census Tract 302104","1/3/2020 - 31/3/2020, Every day, Daily Average",1119,751,1667
"1380","Census Tract 224010","374","Census Tract 302201","1/3/2020 - 31/3/2020, Every day, Daily Average",1383,938,2038
"1380","Census Tract 224010","375","Census Tract 302202","1/3/2020 - 31/3/2020, Every day, Daily Average",1327,853,2063
"1380","Census Tract 224010","376","Census Tract 302301","1/3/2020 - 31/3/2020, Every day, Daily Average",1179,783,1773
"1380","Census Tract 224010","377","Census Tract 302302","1/3/2020 - 31/3/2020, Every day, Daily Average",1081,711,1643
"1380","Census Tract 224010","378","Census Tract 302401","1/3/2020 - 31/3/2020, Every day, Daily Average",1031,689,1542
"1380","Census Tract 224010","379","Census Tract 302503","1/3/2020 - 31/3/2020, Every day, Daily Average",1238,794,1927
